user,job,label
machine learning python data analysis,graphic design ux ui adobe xd digital media design ux designer,1
machine learning python data analysis,content writing seo social media marketing communications digital marketer,1
machine learning python data analysis,user research ux design prototyping design technology ux designer,1
machine learning python data analysis,java system design cloud computing software development ai marketing manager,0
machine learning python data analysis,cloud computing devops python arts digital media financial analyst,0
machine learning python data analysis,financial analysis excel econometrics technology data science research scientist,0
frontend react javascript html css,ux research prototyping interaction design business management data engineer,1
frontend react javascript html css,python cybersecurity network security technology security cybersecurity specialist,1
frontend react javascript html css,java android ui design mobile apps technology mobile developer,1
frontend react javascript html css,python data analysis r finance data science financial analyst,0
frontend react javascript html css,sql data warehousing etl finance analytics embedded systems engineer,0
frontend react javascript html css,embedded systems iot business management project manager,0
cloud computing devops aws azure docker,network security linux python marketing communications devops engineer,1
cloud computing devops aws azure docker,financial analysis excel econometrics technology data science backend developer,1
cloud computing devops aws azure docker,python data analysis machine learning technology data science data analyst,1
cloud computing devops aws azure docker,sql data warehousing etl finance analytics ux researcher,0
cloud computing devops aws azure docker,java algorithms data structures healthcare ai ai researcher,0
cloud computing devops aws azure docker,network security linux python marketing communications data analyst,0
digital marketing seo content strategy,graphic design ui ux adobe creative suite arts digital media full stack developer,1
digital marketing seo content strategy,graphic design illustration adobe creative suite arts design graphic designer,1
digital marketing seo content strategy,java system design cloud computing software development ai front end developer,1
digital marketing seo content strategy,html css javascript web development design front end developer,0
digital marketing seo content strategy,python javascript data visualization analytics business data analyst,0
digital marketing seo content strategy,research statistical analysis r academia biotech research scientist,0
ui ux design figma adobe creative,python deep learning statistics web development design ux designer,1
ui ux design figma adobe creative,digital marketing seo content creation marketing communications digital marketer,1
ui ux design figma adobe creative,python deep learning statistics web development design financial analyst,1
ui ux design figma adobe creative,data visualization python r academia research nlp engineer,0
ui ux design figma adobe creative,financial analysis excel econometrics technology data science data scientist,0
ui ux design figma adobe creative,python deep learning statistics web development design financial analyst,0
